id,何措疙,何措锅龋,API
1,力2136何措,2136,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_2136
2,力1968何措,1968,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_1968
3,力7296何措,7296,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_7296
4,力5397何措,5397,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_5397
5,力1862何措,1862,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_1862
6,力6685何措,6685,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_6685
7,力1570何措,1570,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_1570
8,力5861何措,5861,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_5861
9,力1575何措,1575,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_1575
10,力2291何措,2291,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_2291
11,力3182何措,3182,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_3182
12,力2621何措,2621,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_2621
13,力3007何措,3007,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_3007
14,力7162何措,7162,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_7162
15,力9030何措,9030,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_9030
16,力8902何措,8902,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_8902
17,力8623何措,8623,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_8623
18,力7652何措,7652,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_7652
19,力7369何措,7369,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_7369
20,力6335何措,6335,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_6335
21,力6282何措,6282,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_6282
22,力6176何措,6176,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_6176
23,力5322何措,5322,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_5322
24,力5021何措,5021,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_5021
25,力3389何措,3389,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_3389
26,力3296何措,3296,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_3296
27,力2171何措,2171,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_2171
28,力1691何措,1691,http://openapi.mnd.go.kr/sample/xml/DS_TB_MNDT_DATEBYMLSVC_1691
